time(python3 lot_size_problem_CP_SAT.py)

=============== RESULTS ====================

 STATUS 4
Solution:
Objective value = 138170
Product: 3 || Day: 25 || Production: 360 || Setup: 1 || Inventory: 0
Product: 3 || Day: 26 || Production: 360 || Setup: 1 || Inventory: 0
Product: 3 || Day: 27 || Production: 360 || Setup: 1 || Inventory: 0
Product: 3 || Day: 28 || Production: 360 || Setup: 1 || Inventory: 0
Product: 3 || Day: 29 || Production: 360 || Setup: 1 || Inventory: 0
Product: 3 || Day: 30 || Production: 0 || Setup: 0 || Inventory: 0
Product: 4 || Day: 1 || Production: 0 || Setup: 0 || Inventory: 360
Product: 4 || Day: 2 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 3 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 4 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 5 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 6 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 7 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 8 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 9 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 10 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 11 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 12 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 13 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 14 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 15 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 16 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 17 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 18 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 19 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 20 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 21 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 22 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 23 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 24 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 25 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 26 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 27 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 28 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 29 || Production: 360 || Setup: 1 || Inventory: 0
Product: 4 || Day: 30 || Production: 0 || Setup: 0 || Inventory: 0
Product: 5 || Day: 1 || Production: 0 || Setup: 0 || Inventory: 340
Product: 5 || Day: 2 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 3 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 4 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 5 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 6 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 7 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 8 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 9 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 10 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 11 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 12 || Production: 340 || Setup: 1 || Inventory: 0
