
 Initial STATES 

 Num of services: 168

 Num of locomotives: 16

 Num of Classes: 4

 Num of Service_Class_Equivalence: 13

 Readings OK -- Starting the planner ... 
 S:  d016,bwur,1095000,hbwk,1112100,ldual	 How Many:5  Which: [(159-004,bwur,938400),(159-007,bwur,41700),(159-009,bwur,147900),(159-010,bwur,67200),(159-219,bwur,126600)]
 S:  d017,hbwk,1175400,hgrd,1176300,ldual	 How Many:1  Which: [(159-004,hbwk,1112100)]
 S:  d018,hgrd,1253940,hesh,1267800,ldual	 How Many:1  Which: [(159-004,hgrd,1176300)]
 S:  d019,hesh,1334100,dro,1366800,ldual	 How Many:1  Which: [(159-004,hesh,1267800)]
 S:  e001,hbsr,53400,hloe,99600,ldual	 How Many:1  Which: [(159-005,hbsr,53400)]
 S:  e002,hloe,135600,dncu,210300,ldual	 How Many:1  Which: [(159-005,hloe,99600)]
 S:  e003,dncu,301200,wm,353400,ldual	 How Many:1  Which: [(159-005,dncu,210300)]
 S:  e004,wm,396000,leg,438000,ldual	 How Many:1  Which: [(159-005,wm,353400)]
 S:  e005,leg,563280,hhar,615600,ldual	 How Many:1  Which: [(159-005,leg,438000)]
 S:  e006,hhar,662400,drr,713700,ldual	 How Many:1  Which: [(159-005,hhar,615600)]
 S:  e007,drr,820800,wme,864180,ldual	 How Many:1  Which: [(159-005,drr,713700)]
 S:  e008,wme,913500,drch,951000,ldual	 How Many:1  Which: [(159-005,wme,864180)]
 S:  e009,drch,1004400,wvia,1047600,ldual	 How Many:1  Which: [(159-005,drch,951000)]
 S:  e010,wvia,1085460,drch,1123200,ldual	 How Many:1  Which: [(159-005,wvia,1047600)]
 S:  e011,drch,1172400,bwur,1196700,ldual	 How Many:1  Which: [(159-005,drch,1123200)]
 S:  e012,bwur,1276740,drch,1291080,ldual	 How Many:6  Which: [(159-003,bwur,1194300),(159-005,bwur,1196700),(159-007,bwur,41700),(159-009,bwur,147900),(159-010,bwur,67200),(159-219,bwur,126600)]
 S:  e013,drch,1352640,bpot,1370460,ldual	 How Many:1  Which: [(159-003,drch,1291080)]
 S:  f001,hcn,56100,lgs,83400,ldual	 How Many:1  Which: [(159-006,hcn,56100)]
 S:  f002,lgs,138600,wcor,179700,ldual	 How Many:1  Which: [(159-006,lgs,83400)]
 S:  f003,wcor,215700,bhc,265200,ldual	 How Many:1  Which: [(159-006,wcor,179700)]
 S:  f004,bhc,310800,wgi,357900,ldual	 How Many:1  Which: [(159-006,bhc,265200)]
 S:  f005,wgi,397500,lgs,436200,ldual	 How Many:1  Which: [(159-006,wgi,357900)]
 S:  f006,lgs,480600,hlcp,527100,ldual	 How Many:1  Which: [(159-006,lgs,436200)]
 S:  f007,hlcp,578100,lfg,603120,ldual	 How Many:1  Which: [(159-006,hlcp,527100)]
 S:  f008,lfg,762300,haho,780900,ldual	 How Many:1  Which: [(159-006,lfg,603120)]
 S:  f009,haho,822000,hcg,837900,ldual	 How Many:1  Which: [(159-006,haho,780900)]
 S:  f010,hcg,875340,hbsr,878580,ldual	 How Many:1  Which: [(159-006,hcg,837900)]
 S:  f011,hbsr,885000,fnf,898500,ldual	 How Many:1  Which: [(159-006,hbsr,878580)]
 S:  f012,fnf,900300,hcg,914100,ldual	 How Many:1  Which: [(159-006,fnf,898500)]
 S:  f013,hcg,932700,lfg,938400,ldual	 How Many:1  Which: [(159-006,hcg,914100)]
 S:  f014,lfg,1012200,afw,1045200,ldual	 How Many:1  Which: [(159-006,lfg,938400)]
 S:  f015,afw,1094760,lfg,1125600,ldual	 How Many:1  Which: [(159-006,afw,1045200)]
 S:  f016,lfg,1268400,bspj,1279380,ldual	 How Many:1  Which: [(159-006,lfg,1125600)]
 S:  f017,bspj,1345500,lfg,1357320,ldual	 How Many:1  Which: [(159-006,bspj,1279380)]
 S:  f018,lfg,1363020,hcg,1375380,ldual	 How Many:1  Which: [(159-006,lfg,1357320)]
 S:  g001,bwur,41700,bspj,49200,ldual	 How Many:1  Which: [(159-007,bwur,41700)]
 S:  g002,bspj,75000,wnt,189300,ldual	 How Many:1  Which: [(159-007,bspj,49200)]
 S:  g003,wnt,224700,dsut,263400,ldual	 How Many:1  Which: [(159-007,wnt,189300)]
 S:  g004,dsut,288000,hold,350700,ldual	 How Many:1  Which: [(159-007,dsut,263400)]
 S:  g005,hold,389400,dsut,436200,ldual	 How Many:1  Which: [(159-007,hold,350700)]
 S:  g006,dsut,462300,bwur,500400,ldual	 How Many:1  Which: [(159-007,dsut,436200)]
 S:  g007,bwur,681900,wrs,702000,ldual	 How Many:4  Which: [(159-007,bwur,500400),(159-009,bwur,147900),(159-010,bwur,67200),(159-219,bwur,126600)]
 S:  g008,wrs,751200,dsut,792600,ldual	 How Many:1  Which: [(159-007,wrs,702000)]
 S:  g009,dsut,816000,wza,878100,ldual	 How Many:1  Which: [(159-007,dsut,792600)]
 S:  g010,wza,907200,dsut,979800,ldual	 How Many:1  Which: [(159-007,wza,878100)]
 S:  g011,dsut,997800,bspj,1038600,ldual	 How Many:1  Which: [(159-007,dsut,979800)]
 S:  g012,bspj,1084200,bswp,1087800,ldual	 How Many:1  Which: [(159-007,bspj,1038600)]
 S:  g013,bswp,1250400,hbdd,1261800,ldual	 How Many:1  Which: [(159-007,bswp,1087800)]
 S:  g014,hbdd,1270500,wl,1297500,ldual	 How Many:1  Which: [(159-007,hbdd,1261800)]
 S:  i001,bwur,147900,dsut,177000,ldual	 How Many:3  Which: [(159-009,bwur,147900),(159-010,bwur,67200),(159-219,bwur,126600)]
 S:  i002,dsut,203100,woe,249000,ldual	 How Many:1  Which: [(159-009,dsut,177000)]
 S:  i003,woe,297900,dsut,353400,ldual	 How Many:1  Which: [(159-009,woe,249000)]
 S:  i004,dsut,375900,wrs,435900,ldual	 How Many:1  Which: [(159-009,dsut,353400)]
 S:  i005,wrs,482100,bwur,516000,ldual	 How Many:1  Which: [(159-009,wrs,435900)]
 S:  i006,bwur,671100,dsut,695400,ldual	 How Many:3  Which: [(159-009,bwur,516000),(159-010,bwur,67200),(159-219,bwur,126600)]
 S:  i007,dsut,731700,hq,782700,ldual	 How Many:1  Which: [(159-009,dsut,695400)]
 S:  i008,hq,905100,dsut,1043700,ldual	 How Many:1  Which: [(159-009,hq,782700)]
 S:  i009,dsut,1071600,bwur,1103700,ldual	 How Many:1  Which: [(159-009,dsut,1043700)]
 S:  j001,bwur,67200,dsut,90600,ldual	 How Many:1  Which: [(159-010,bwur,67200)]
 S:  j002,dsut,117600,bwur,162600,ldual	 How Many:1  Which: [(159-010,dsut,90600)]
 S:  j003,bwur,249600,lqb,262200,ldual	 How Many:2  Which: [(159-010,bwur,162600),(159-219,bwur,126600)]
 S:  j004,lqb,310200,hhar,345600,ldual	 How Many:2  Which: [(159-010,lqb,262200),(159-011,lqb,54600)]
 S:  j005,hhar,398400,bwur,426300,ldual	 How Many:1  Which: [(159-010,hhar,345600)]
 S:  j006,bwur,426600,bspg,427200,ldual	 How Many:2  Which: [(159-010,bwur,426300),(159-219,bwur,126600)]
 S:  j007,bspg,430800,bwur,431400,ldual	 How Many:1  Which: [(159-010,bspg,427200)]
 S:  k001,lqb,54600,hhar,87600,ldual	 How Many:1  Which: [(159-011,lqb,54600)]
 S:  k002,hhar,141600,lqb,172500,ldual	 How Many:1  Which: [(159-011,hhar,87600)]
 S:  k003,lqb,234000,awhoh,265500,ldual	 How Many:1  Which: [(159-011,lqb,172500)]
 S:  k004,awhoh,312000,llsg,351600,ldual	 How Many:1  Which: [(159-011,awhoh,265500)]
 S:  k005,llsg,387600,uku,399600,ldual	 How Many:1  Which: [(159-011,llsg,351600)]
 S:  k006,uku,616200,hnm,657000,ldual	 How Many:1  Which: [(159-011,uku,399600)]
 S:  l001,bwur,126600,bodk,133800,ldual	 How Many:1  Which: [(159-219,bwur,126600)]
 S:  l002,bodk,140100,bwur,148200,ldual	 How Many:1  Which: [(159-219,bodk,133800)]
 S:  l003,bwur,175200,lsf,182400,ldual	 How Many:1  Which: [(159-219,bwur,148200)]
 S:  l004,lsf,195000,bwur,204000,ldual	 How Many:1  Which: [(159-219,lsf,182400)]
 S:  l005,bwur,235500,lmuk,249000,ldual	 How Many:1  Which: [(159-219,bwur,204000)]
 S:  l006,lmuk,306600,albg,339000,ldual	 How Many:1  Which: [(159-219,lmuk,249000)]
 S:  l007,albg,371100,awlb,378000,ldual	 How Many:1  Which: [(159-219,albg,339000)]
 S:  l008,awlb,411000,bwur,429900,ldual	 How Many:1  Which: [(159-219,awlb,378000)]
 S:  m001,hmg,0,hhar,10800,ldual	 How Many:1  Which: [(159-223,hmg,0)]
 S:  m002,hhar,52200,dncu,99300,ldual	 How Many:1  Which: [(159-223,hhar,10800)]
 S:  m003,dncu,211200,drch,213000,ldual	 How Many:1  Which: [(159-223,dncu,99300)]
 S:  m004,drch,216600,wme,267000,ldual	 How Many:1  Which: [(159-223,drch,213000)]
 S:  m005,wme,313500,drch,353700,ldual	 How Many:1  Which: [(159-223,wme,267000)]
 S:  m006,drch,398700,wme,437400,ldual	 How Many:1  Which: [(159-223,drch,353700)]
 S:  m007,wme,483000,drch,522300,ldual	 How Many:1  Which: [(159-223,wme,437400)]
 S:  m008,drch,569400,wme,606600,ldual	 How Many:1  Which: [(159-223,drch,522300)]
 S:  m009,wme,655800,bno,671400,ldual	 How Many:1  Which: [(159-223,wme,606600)]
